,eeg signal
0,0.0
1,0.513358426222327
2,-4.571882591339484
3,-12.666839967220376
4,-13.303603817770956
5,-4.389489257868815
6,-5.969909335897604
7,4.709880110225296
8,9.288903186602411
9,-6.494406325918544
10,-3.8388133145294883
11,11.592469969474092
12,7.109753351315767
13,4.445317798197067
14,2.7725601099789063
15,2.0378239187123945
16,-15.316072156076181
17,-8.389207650167538
18,8.483124031687122
19,-8.888757350144246
20,-8.822236266217562
21,-2.6483657670082192
22,0.47474511388581275
23,3.955869221111964
24,4.098463055470292
25,5.524573053976868
26,6.852011993356525
27,2.218987431680538
28,-10.001778706249446
29,11.735738546721077
30,0.9215414178254049
31,6.156316177881782
32,-7.618550270462519
33,-1.9316315716649277
34,-5.420061002759251
35,17.535552920466202
36,-8.314098372044088
37,3.7153682597443587
38,-17.95811308464145
39,2.692697140944092
40,-23.50856246814663
41,1.2144800126378195
42,0.863762416867663
43,-10.303026062876224
44,9.87467325102534
45,-5.3688373748510045
46,18.6720246520319
47,1.1979718960135881
48,2.3525343224939803
49,6.016117112428695
50,6.614843295288629
51,1.659421350891491
52,1.240365959006756
53,2.377557711949978
54,-5.777182946966666
55,-0.3134026201511524
56,-3.286592446372084
57,1.070054036715769
58,12.160213664737897
59,-9.06624643710548
60,7.785367100703171
61,-13.763067663263595
62,13.801327374415395
63,-7.806481226921462
64,4.111134567843046
65,-0.1560701454097544
66,-15.152476720197257
67,-9.420059005203314
68,1.4270513447976012
69,-0.8177171680197164
70,-3.510561440610067
71,7.436077032584912
72,-6.836938576062516
73,4.823154312420689
74,2.5060555622127483
75,3.603657524483807
76,-14.807193504057365
77,12.347520297169256
78,-3.5685343278103128
79,7.042805220478526
80,-5.302968759619853
81,5.608969582199402
82,-19.85604495403795
83,3.4852251691166662
84,-6.042817633363839
85,6.130703617253895
86,-8.72261743973516
87,-1.5156525023570386
88,5.259690453997997
89,-10.649298781212188
90,-5.278975917374363
91,0.4521968691482581
92,-7.027689984218323
93,14.16527378288656
94,-2.3802675180133717
95,-9.910053319439873
96,2.401867463380162
97,10.146981707596336
98,-4.74574809093482
99,-1.65902957883067
100,0.46529028100882686
101,-1.363412349383297
102,-10.439942533348866
103,3.9114893539012296
104,12.854547079751114
105,-0.6832175815462398
106,-3.442124722139627
107,1.4023718278831208
108,10.421622595323441
109,-4.5765944884184515
110,3.026294253214737
111,-0.9882848526448411
112,-1.6541844826833518
113,-4.500507633924
114,0.5876529813825027
115,11.203642288590762
116,-13.122365934614503
117,19.243741621758623
118,-13.167633856734518
119,13.24946757709181
120,3.441673179613886
121,4.583618209767282
122,-8.927304192917958
123,1.8675345882938574
124,10.370315092804939
125,5.523409225213553
126,-8.236353194019228
127,-1.298477885404954
128,-4.505464703637421
129,-0.8593817842650218
130,-1.0590187606640997
131,-7.720283790005997
132,5.847182252170242
133,-9.618422700029196
134,14.295173822501509
135,-2.067362955047968
136,6.556754537459159
137,10.890961754502287
138,-12.638176481304733
139,-10.671930776449813
140,-0.5430468277149985
141,-6.10265127319898
142,-8.691761620190915
143,-16.16163150332212
144,5.737292678912558
145,1.0983900409145635
146,-4.102878170934432
147,-4.212741665494365
148,13.614471280788411
149,-15.291132893596384
150,-5.245234551307265
151,2.6677221995322555
152,8.377453194684989
153,-13.939196305862914
154,-10.36396164823555
155,-1.320402714434489
156,5.20565035060514
157,-6.305534532571044
158,-9.322553566909884
159,20.60108562435542
160,1.366615958545971
161,19.55072964597602
162,1.986376272052838
163,1.9487460682215783
164,7.0777713466544645
165,-2.5759473316768586
166,7.388985426223472
167,11.171515750516424
168,2.8230468747682247
169,7.476489238129497
170,3.82813309315385
171,-5.97287327546958
172,-4.633304694035781
173,-8.583178857738051
174,7.2181654960885275
175,-3.8045480072099362
176,-9.04552012035352
177,1.6616340993565213
178,8.052928061518484
179,3.1003228808143173
180,1.8191358918352811
181,-4.17083016298702
182,-10.091450487282385
183,-3.9018744329218613
184,4.201951878846542
185,-9.473887098471309
186,-14.770866375789042
187,8.552559931078164
188,-9.582446743310145
189,21.134737183977375
190,-3.341541930046275
191,-1.8321768042167657
192,-11.834799464204856
193,0.10359251966827987
194,-0.9138009438174486
195,-3.6689152901243363
196,3.9533980149446233
197,-6.199253766482673
198,-0.29351561706918816
199,-0.7073760821942727
200,-10.613006405417206
201,-13.122316541838686
202,-9.342840966827538
